Weeklyearnings,female,age,agesquared,dropout,hsgrad,somecoll,collgrad,collplus
1,1,22,484,0,1,0,0,0
1,0,54,2916,0,0,1,0,0
1,1,53,2809,0,0,0,1,0
1,0,53,2809,0,0,1,0,0
2,1,49,2401,0,0,0,1,0
2,1,42,1764,0,0,0,1,0
2.07,1,39,1521,1,0,0,0,0
2.76,0,51,2601,1,0,0,0,0
2.76,1,39,1521,0,0,1,0,0
3,0,40,1600,1,0,0,0,0
3.23,0,24,576,1,0,0,0,0
3.84,1,42,1764,0,1,0,0,0
4.84,1,43,1849,1,0,0,0,0
4.84,0,52,2704,1,0,0,0,0
5.5,1,33,1089,0,1,0,0,0
5.76,1,46,2116,1,0,0,0,0
6,1,51,2601,1,0,0,0,0
6.92,1,50,2500,1,0,0,0,0
7.5,1,39,1521,0,1,0,0,0
8,1,45,2025,1,0,0,0,0
10,1,44,1936,0,1,0,0,0
10,0,44,1936,0,1,0,0,0
12,0,55,3025,1,0,0,0,0
13,0,41,1681,0,1,0,0,0
15,0,18,324,1,0,0,0,0
15.75,1,18,324,0,1,0,0,0
15.75,1,63,3969,1,0,0,0,0
16,1,22,484,0,0,1,0,0
17.5,1,46,2116,0,0,0,1,0
17.5,0,43,1849,0,1,0,0,0
17.7,1,34,1156,0,0,0,1,0
18,0,57,3249,0,1,0,0,0
19,1,29,841,0,1,0,0,0
19.38,1,34,1156,0,1,0,0,0
20,1,20,400,0,1,0,0,0
20,1,33,1089,0,0,1,0,0
20,1,48,2304,0,0,1,0,0
20.6,1,18,324,1,0,0,0,0
21.6,1,54,2916,0,1,0,0,0
22,0,18,324,0,1,0,0,0
22.5,1,51,2601,1,0,0,0,0
23,1,20,400,0,0,1,0,0
23.07,1,36,1296,0,1,0,0,0
24,1,20,400,0,1,0,0,0
24,1,53,2809,0,1,0,0,0
24,1,25,625,0,0,1,0,0
24,0,37,1369,0,1,0,0,0
25,1,32,1024,0,1,0,0,0
25,0,21,441,1,0,0,0,0
25,0,18,324,1,0,0,0,0
25,0,51,2601,1,0,0,0,0
27.08,1,52,2704,0,1,0,0,0
27.5,0,36,1296,0,1,0,0,0
27.69,1,20,400,0,1,0,0,0
28,1,51,2601,0,0,1,0,0
28,1,42,1764,0,0,1,0,0
28.84,0,32,1024,1,0,0,0,0
28.84,1,38,1444,1,0,0,0,0
28.84,1,18,324,0,1,0,0,0
30,1,62,3844,0,1,0,0,0
30,1,33,1089,1,0,0,0,0
30,1,53,2809,0,1,0,0,0
30,1,46,2116,0,0,1,0,0
30,1,33,1089,0,1,0,0,0
30,1,29,841,0,1,0,0,0
30,1,34,1156,1,0,0,0,0
31.5,0,18,324,1,0,0,0,0
32.3,1,51,2601,0,1,0,0,0
32.5,1,21,441,0,0,1,0,0
33,0,21,441,0,0,1,0,0
35,1,28,784,0,0,1,0,0
35,0,23,529,0,0,1,0,0
36,1,18,324,0,1,0,0,0
36,0,18,324,1,0,0,0,0
36.6,1,22,484,0,1,0,0,0
38,1,34,1156,0,0,0,1,0
38,1,27,729,0,0,0,1,0
38.46,1,40,1600,0,0,0,1,0
38.46,1,34,1156,0,0,0,1,0
39.2,1,50,2500,0,1,0,0,0
40,0,21,441,0,0,1,0,0
40,0,18,324,1,0,0,0,0
40,0,18,324,0,1,0,0,0
40,1,28,784,0,1,0,0,0
40,1,39,1521,1,0,0,0,0
40,0,41,1681,0,0,0,0,1
40,1,26,676,0,1,0,0,0
40,0,41,1681,0,1,0,0,0
40,0,44,1936,0,0,0,0,1
41.2,1,19,361,0,0,1,0,0
41.2,1,18,324,1,0,0,0,0
42,0,21,441,0,0,1,0,0
42,1,57,3249,0,0,1,0,0
42,1,57,3249,0,1,0,0,0
42,1,19,361,0,0,1,0,0
42,1,53,2809,0,0,1,0,0
43,1,57,3249,0,1,0,0,0
43,1,63,3969,0,1,0,0,0
43.84,1,55,3025,0,1,0,0,0
44,0,18,324,0,1,0,0,0
44,1,50,2500,0,0,1,0,0
44,1,18,324,1,0,0,0,0
45,0,21,441,0,1,0,0,0
45,1,30,900,0,1,0,0,0
45,1,62,3844,0,1,0,0,0
46,1,27,729,1,0,0,0,0
46,1,36,1296,0,0,1,0,0
46,0,39,1521,1,0,0,0,0
46.15,1,43,1849,0,0,1,0,0
46.15,0,23,529,0,0,0,1,0
46.15,1,58,3364,0,0,0,1,0
46.15,1,49,2401,0,0,1,0,0
46.15,1,57,3249,0,1,0,0,0
46.15,1,46,2116,1,0,0,0,0
46.15,0,37,1369,1,0,0,0,0
46.15,1,36,1296,0,1,0,0,0
46.15,1,18,324,1,0,0,0,0
47,0,31,961,0,1,0,0,0
48,0,20,400,0,0,1,0,0
48,1,65,4225,0,1,0,0,0
48,0,18,324,1,0,0,0,0
48,1,24,576,0,0,1,0,0
48,1,25,625,0,0,0,1,0
49,1,25,625,0,0,1,0,0
49,0,46,2116,0,1,0,0,0
49.5,1,63,3969,0,1,0,0,0
50,0,18,324,1,0,0,0,0
50,1,31,961,0,0,1,0,0
50,1,18,324,1,0,0,0,0
50,0,47,2209,0,1,0,0,0
50,0,18,324,0,1,0,0,0
50,1,27,729,0,1,0,0,0
50,1,37,1369,0,0,1,0,0
50,0,24,576,0,0,1,0,0
50,0,29,841,0,1,0,0,0
50,0,18,324,1,0,0,0,0
50,1,41,1681,0,0,1,0,0
50,0,20,400,0,1,0,0,0
50,0,46,2116,0,1,0,0,0
50,0,18,324,1,0,0,0,0
50,1,18,324,1,0,0,0,0
50,1,19,361,1,0,0,0,0
50.4,1,33,1089,0,1,0,0,0
51.5,1,19,361,0,0,1,0,0
51.5,0,22,484,0,0,1,0,0
52,1,45,2025,0,1,0,0,0
52,1,18,324,1,0,0,0,0
52.5,0,29,841,0,0,0,1,0
52.5,1,19,361,0,0,1,0,0
53.25,1,19,361,0,0,1,0,0
53.5,0,31,961,0,0,0,1,0
53.5,1,22,484,0,0,1,0,0
54,0,19,361,0,0,1,0,0
